,0.04,,,,,
579,1,0.7,0.96,,,
580,1,0.7,0.97,,,
581,0,0.7,0.68,,,
582,0,0.7,0.47,,,
583,0,0.7,0.33,,,
584,0,0.7,0.23,,,
585,0,0.7,0.16,,,
586,0,0.7,0.11,,,
587,0,0.7,0.08,,,
588,0,0.7,0.05,,,
589,0,0.7,0.04,,,
590,0,0.7,0.03,,,
591,1,0.7,0.32,,,
592,1,0.7,0.53,,,
593,1,0.7,0.67,,,
594,1,0.7,0.77,,,
595,1,0.7,0.84,,,
596,1,0.7,0.89,,,
597,1,0.7,0.92,,,
598,1,0.7,0.95,,,
599,1,0.7,0.96,,,
600,1,0.7,0.97,,,
601,0,0.7,0.68,,,
602,0,0.7,0.47,,,
603,0,0.7,0.33,,,
604,0,0.7,0.23,,,
605,0,0.7,0.16,,,
606,0,0.7,0.11,,,
607,0,0.7,0.08,,,
608,0,0.7,0.05,,,
609,0,0.7,0.04,,,
610,0,0.7,0.03,,,
611,1,0.7,0.32,,,
612,1,0.7,0.53,,,
613,1,0.7,0.67,,,
614,1,0.7,0.77,,,
615,1,0.7,0.84,,,
616,1,0.7,0.89,,,
617,1,0.7,0.92,,,
618,1,0.7,0.95,,,
619,1,0.7,0.96,,,
620,1,0.7,0.97,,,
621,0,0.7,0.68,,,
622,0,0.7,0.47,,,
623,0,0.7,0.33,,,
624,0,0.7,0.23,,,
625,0,0.7,0.16,,,
626,0,0.7,0.11,,,
627,0,0.7,0.08,,,
628,0,0.7,0.05,,,
629,0,0.7,0.04,,,
630,0,0.7,0.03,,,
631,1,0.7,0.32,,,
632,1,0.7,0.53,,,
633,1,0.7,0.67,,,
634,1,0.7,0.77,,,
635,1,0.7,0.84,,,
636,1,0.7,0.89,,,
637,1,0.7,0.92,,,
638,1,0.7,0.95,,,
639,1,0.7,0.96,,,
640,1,0.7,0.97,,,
641,0,0.7,0.68,,,
642,0,0.7,0.47,,,
643,0,0.7,0.33,,,
644,0,0.7,0.23,,,
645,0,0.7,0.16,,,
646,0,0.7,0.11,,,
647,0,0.7,0.08,,,
648,0,0.7,0.05,,,
649,0,0.7,0.04,,,
650,0,0.7,0.03,,,
651,1,0.7,0.32,,,
652,1,0.7,0.53,,,
653,1,0.7,0.67,,,
654,1,0.7,0.77,,,
655,1,0.7,0.84,,,
656,1,0.7,0.89,,,
657,1,0.7,0.92,,,
658,1,0.7,0.95,,,
659,1,0.7,0.96,,,
660,1,0.7,0.97,,,
661,0,0.7,0.68,,,
662,0,0.7,0.47,,,
663,0,0.7,0.33,,,
664,0,0.7,0.23,,,
665,0,0.7,0.16,,,
666,0,0.7,0.11,,,
667,0,0.7,0.08,,,
668,0,0.7,0.05,,,
669,0,0.7,0.04,,,
670,0,0.7,0.03,,,
671,1,0.7,0.32,,,
672,1,0.7,0.53,,,
673,1,0.7,0.67,,,
674,1,0.7,0.77,,,
675,1,0.7,0.84,,,
676,1,0.7,0.89,,,
677,1,0.7,0.92,,,
678,1,0.7,0.95,,,
679,1,0.7,0.96,,,
680,1,0.7,0.97,,,
681,0,0.7,0.68,,,
682,0,0.7,0.47,,,
683,0,0.7,0.33,,,
684,0,0.7,0.23,,,
685,0,0.7,0.16,,,
686,0,0.7,0.11,,,
687,0,0.7,0.08,,,
